"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1272.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x0a16a1afa1804f738a29d0367a9677c2cc99435c8153c0fbf5462a739d2fb037","14174458","1644444117","2022-02-09 22:01:57","0x0b0b4ff86d861058b7532970432f5ff0f1093f42","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022301221215991201","28.3847713515014","3246.72","","","Whitelist Mint",""
"0x0309e1bc4ea3714943371bf36884f9e9250e1b38fa7fcb9d5436c9f59c5a581f","14174458","1644444117","2022-02-09 22:01:57","0x034bdad53890f6c0064527b506435aac6cde635a","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.034895752547988413","44.4149648855542","3246.72","","","Whitelist Mint",""
"0x4c8d9ff36e05d77c629b02163c7d3118bdf044004dcbe0c808954c28f7de38d2","14174458","1644444117","2022-02-09 22:01:57","0x79c5146bd916944b4f4aee4c2447644be2b78e0f","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022201739067490613","28.2581514677114","3246.72","","","Whitelist Mint",""
"0xa8f7cc700951e50cbedfd809efea66d032f9f40ee273ab003aa702df75162193","14174458","1644444117","2022-02-09 22:01:57","0xf38f9bc7fc33e74b2aa8cdbc7cd044e79457a995","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022061222447679755","28.0793033191823","3246.72","","","Whitelist Mint",""
"0x8389eb8cabe7302fae7d37a5e0ca4780fe89ceb5bd748ad01948efccc337f895","14174458","1644444117","2022-02-09 22:01:57","0xcb080bd8df31257e092d99d4236e187c456058a7","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022197666121988849","28.2529674634062","3246.72","","","Whitelist Mint",""
"0xf4e5d83ddc5551104008383db17638aa5b95cd20ddbde09dcff786d4e065cc04","14174458","1644444117","2022-02-09 22:01:57","0x593595908ead850f3c96fdfcf7b9ee3f61307494","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022201739067490613","28.2581514677114","3246.72","","","Whitelist Mint",""
"0x58c214cf9b18719f0466757b0a7d69f1e0eae46a4b5c08bae957e09166813323","14174458","1644444117","2022-02-09 22:01:57","0x161bd5b2160067bd57931b9843e73eaf851dccf6","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022200833968490221","28.2569994667547","3246.72","","","Whitelist Mint",""
"0x8e84eb4e8a65727b02cb5ef9f0349d1ed2871945696799979ac1e69ed2430a13","14174458","1644444117","2022-02-09 22:01:57","0xc51523550350040084c38a470d16558c607b1c6d","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022204001814991593","28.2610314701031","3246.72","","","Whitelist Mint",""
"0xcdfe7709e39884581c765c78d41f105019d6e4de46811f70f5a3560360d12b67","14174459","1644444145","2022-02-09 22:02:25","0x5d93501276ee59d7d3d17a12b21cb2473e5d6824","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0226921204857254","28.8823040330264","3246.72","","","Whitelist Mint",""
"0xa8fdea256efc286fb4b1ea810296cd6751f128694666407f7d2df76d2744d400","14174459","1644444145","2022-02-09 22:02:25","0xcee8046604f37296424dcfda83449794acf14559","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02254074929989964","28.6896403014193","3246.72","","","Whitelist Mint",""
